Commit: 50243106c2a282d4003523d2ae6780a07b90fdd2, AN: Claus Ibsen, AD: 2017-11-15, CN: Claus Ibsen, CD: 2017-11-15, Upgrade-Camel-to-2.20.1
Commit: 3ca439cadaa8c40f506aa1ef683b36624d216254, AN: Christopher L. Shannon (cshannon), AD: 2017-11-14, CN: Christopher L. Shannon (cshannon), CD: 2017-11-14, AMQ-6858-Allow-configuration-of-the-client-Id-token-in-network-bridge
Commit: 41211c78d19b545a2352584d3598346aa3705be4, AN: Christopher L. Shannon, AD: 2017-11-12, CN: Christopher L. Shannon (cshannon), CD: 2017-11-13, AMQ-6858-reworking-durable-subscription-propagation-fix
Commit: a0a23b99ccaf13d68853a308240a10807df2c6d8, AN: Dejan Bosanac, AD: 2017-11-10, CN: Dejan Bosanac, CD: 2017-11-10, AMQ-6859-MQTT-topic-name-of-the-message
Commit: 96ce14b278fef9e5f428f1c3c07ce5c09fd8f9a8, AN: Christopher L. Shannon (cshannon), AD: 2017-11-06, CN: Christopher L. Shannon (cshannon), CD: 2017-11-09, AMQ-6858-Fix-several-durable-subscription-bridge-propagation-issues
Commit: 7dad09a9cd3aa9ec8555083f56a262339b3dba35, AN: Timothy Bish, AD: 2017-11-06, CN: Timothy Bish, CD: 2017-11-06, AMQ-6856-Update-Qpid-JMS-and-Proton-J
Commit: b29ccf348803249b9d62cc607a8c7e22f06cf8a5, AN: gtully, AD: 2017-11-02, CN: gtully, CD: 2017-11-02, AMQ-6854-log-warn-if-page-in-is-blocked-on-usage-preventing-dispatch.-Reuse-blockedProducerWarningInterval-to-tweak-reporting
Commit: 03b19b9da4d50c3bb8985f930e93596c7d994d26, AN: gtully, AD: 2017-11-01, CN: gtully, CD: 2017-11-01, AMQ-6847-limit-the-retry-loop-to-one-iteration-overa-all-pending-messages-such-that-new-additions-are-not-replayed-to-avoid-duplicates
Commit: 2ea5d1420bbbf90bd151e19a75e6ca33c773f1f4, AN: gtully, AD: 2017-10-27, CN: gtully, CD: 2017-10-27, AMQ-6847-pause-dispatch-for-message-move-to-avoid-redelivery-with-pending-ack-remove-audit-rollback
Commit: 005403e94b6c3e62240b744bfa1f030fa28b77ae, AN: gtully, AD: 2017-10-27, CN: gtully, CD: 2017-10-27, no-jira-more-lenient-for-ci-builds-intermittetnt-failure
Commit: 8e576be1d9719367aa209562a128d489f27cdd01, AN: gtully, AD: 2017-10-26, CN: gtully, CD: 2017-10-26, AMQ-6849-fix-sendFailIfNoSpaceAfterTimeout-policy-entry-default-value
Commit: 6da08b245e8b5c728d2fb0795ad922ccc99baf41, AN: gtully, AD: 2017-10-25, CN: gtully, CD: 2017-10-25, AMQ-6849-provide-a-virtualTopic-dropOnResourceLimit-attribute-default-to-false
Commit: be6f4b69c12b8f52ce59d5c97150f10da0cd264d, AN: gtully, AD: 2017-10-25, CN: gtully, CD: 2017-10-25, no-jira-calm-this-test-a-bit-due-to-oom-in-ci-builds
Commit: 489cdc624cb537092779f4167fadfd66242dc78f, AN: Timothy Bish, AD: 2017-10-18, CN: Timothy Bish, CD: 2017-10-18, This-closes-262
Commit: cc6cb74c74d31d1ba3e4a0534037cc8180d306b0, AN: James Sears, AD: 2017-10-06, CN: James Sears, CD: 2017-10-18, AMQ-6828-Improvement-to-python-AMQP-example
Commit: b3f41cb44bdc5fe11b20f5f1a9fb07fb03b63239, AN: Christopher L. Shannon (cshannon), AD: 2017-10-17, CN: Christopher L. Shannon (cshannon), CD: 2017-10-17, NO-JIRA-Adding-5.15.2-schema-mapping
Commit: 0c396a23e761c9371edacbdbddff891fcc0e3a04, AN: Christopher L. Shannon (cshannon), AD: 2017-10-16, CN: Christopher L. Shannon (cshannon), CD: 2017-10-16, AMQ-6834-Adding-back-in-spring-schemas-for-camel
Commit: 98a5e55a9676f6857aefed5a0d4a364ba4920375, AN: Claus Ibsen, AD: 2017-10-15, CN: Claus Ibsen, CD: 2017-10-15, AMQ-6834-activemq-osgi-should-not-include-camel-namespace-in-spring-as-they-have-been-removed-from-Camel.-Only-blueprint-is-supported
Commit: 3cfa5cf7e29035af2d01d1692920fba4923a5000, AN: Claus Ibsen, AD: 2017-10-15, CN: Claus Ibsen, CD: 2017-10-15, Upgrade-Spring
Commit: 02cd02e981e5a644b09821d7ce736426b95ecffa, AN: Claus Ibsen, AD: 2017-10-15, CN: Claus Ibsen, CD: 2017-10-15, Upgrade-Apache-Camel-to-2.20.0
Commit: e793260573f30365572a1e7507cd98e9ed17b1b5, AN: gtully, AD: 2017-10-11, CN: gtully, CD: 2017-10-11, AMQ-6831-AMQ-6771-trigger-eofexception-on-read-1-AMQ6522Test
Commit: ada50f74f977f2a17ef764edf1cc9acb83c7091d, AN: Timothy Bish, AD: 2017-10-10, CN: Timothy Bish, CD: 2017-10-10, AMQ-6830-Update-main-netty-dep-to-4.1.16.Final
Commit: f9899922783e0e94de030f4c867e5d48a3d869a9, AN: gtully, AD: 2017-10-10, CN: gtully, CD: 2017-10-10, AMQ-6831-AMQ-6771-fix-up-recovery-check-to-ensure-full-batch-is-available-in-memory-regression-from-AMQ-6771
Commit: 0e6fc19cff88eb5bc5c7b02aa274835cdafc26b9, AN: Timothy Bish, AD: 2017-10-06, CN: Timothy Bish, CD: 2017-10-06, AMQ-6830-Update-Qpid-JMS-and-Netty
Commit: 044699c00cbe65c3930194c6937b12b62f502177, AN: gtully, AD: 2017-10-06, CN: gtully, CD: 2017-10-06, AMQ-6829-add-inflight-count-to-dstat-queue-output
Commit: 25ef84a3a0224e0ec3713b6e16e9d563afec9519, AN: Claus Ibsen, AD: 2017-10-06, CN: Claus Ibsen, CD: 2017-10-06, Upgrade-Spring
Commit: 77fc96b07bd70d53a7c8a8ca88a5a5fa4c791de7, AN: Claus Ibsen, AD: 2017-10-06, CN: Claus Ibsen, CD: 2017-10-06, Upgrade-Camel
Commit: 578eacab455d82989da2ac26980379a04eeb2ad0, AN: gtully, AD: 2017-09-28, CN: gtully, CD: 2017-09-28, AMQ-6824-remove-time-dependency-in-test-assertion
Commit: e5b7c9fba467d1b9f2db04c01e3863883fd25fc0, AN: Robbie Gemmell, AD: 2017-09-27, CN: Robbie Gemmell, CD: 2017-09-27, AMQ-6821-AMQ-6790-add-the-ActiveMQAMQPBrokerFeatureTest-to-the-smoke-sanity-test-profile
Commit: 33b52b5914b30e73663a344f095a30c1dd484f49, AN: gtully, AD: 2017-09-27, CN: gtully, CD: 2017-09-27, AMQ-6790-add-netty-kqueue-osgi-dependency-to-the-activemq-amqp-client-feature
Commit: 41a100766c19655816d575841ba559d33c63313d, AN: gtully, AD: 2017-09-26, CN: gtully, CD: 2017-09-26, AMQ-6824-fix-up-prefetchExtension-growth-on-transaction-completion-and-delivered-ack-and-tie-in-boolean-usePrefetchExtension
Commit: a21dd40527d1576c8fa0029ca2996961af12bb9a, AN: Timothy Bish, AD: 2017-09-25, CN: Timothy Bish, CD: 2017-09-25, AMQ-6823-Ensure-that-MessagePull-is-works-across-HTTP-transport
Commit: 62ce85265978e503c64024994bf391c185fbbd4c, AN: Christopher L. Shannon (cshannon), AD: 2017-09-25, CN: Christopher L. Shannon (cshannon), CD: 2017-09-25, NO-JIRA-Exclude-logo.svg-from-apache-rat-check
Commit: 76cc7796686ddf1243e5fb327214580b2c90a5e0, AN: Christopher L. Shannon (cshannon), AD: 2017-09-25, CN: Christopher L. Shannon (cshannon), CD: 2017-09-25, NO-JIRA-Adding-schema-definition-for-5.15.1
Commit: e50e1661bf52694809694e4fad8f9b434272f6db, AN: Robbie Gemmell, AD: 2017-09-22, CN: Robbie Gemmell, CD: 2017-09-22, AMQ-6821-update-to-qpid-jms-0.25.0
Commit: 66d9d86fdfb1cf5599d5e1526f651726de7cf939, AN: Robbie Gemmell, AD: 2017-09-21, CN: Robbie Gemmell, CD: 2017-09-21, NO-JIRA-remove-script-moved-into-dist-dev-repo-to-simplify-use-now-under-https-dist.apache.org-repos-dist-dev-activemq-activemq
Commit: c513bd7ba86a250edd205ea52df31d80318c7fd6, AN: Robbie Gemmell, AD: 2017-09-21, CN: Robbie Gemmell, CD: 2017-09-21, NO-JIRA-tweak-script-to-default-to-a-version-named-dir-allow-specifying-alternative-and-exit-if-it-already-exists
Commit: 6e33507bf2fc2acea9f61e230cf8e2a9cbccc3ce, AN: Christopher L. Shannon (cshannon), AD: 2017-09-21, CN: Christopher L. Shannon (cshannon), CD: 2017-09-21, AMQ-6820-Properly-handle-ClosedChannelException
Commit: 61d3231d3647fc136b12fd88a9165b783e36585b, AN: Timothy Bish, AD: 2017-09-20, CN: Timothy Bish, CD: 2017-09-20, AMQ-6809-Fix-issue-where-stream-message-getBytes-returned-wrong-value
Commit: 5b4fb8aa2bafa691860745d182a831e1e852eeb1, AN: gtully, AD: 2017-09-20, CN: gtully, CD: 2017-09-20, no-jira-test-to-exercise-pool-setBlockIfSessionPoolIsFull-false
Commit: 0f21cf714519d028720dbc95c1656c15d587efb2, AN: Timothy Bish, AD: 2017-09-19, CN: Timothy Bish, CD: 2017-09-19, Adds-a-script-used-to-prepare-a-release-for-vote
Commit: 8c3ef6cadb46d9694c68aa649a7952eb1612279f, AN: gtully, AD: 2017-09-19, CN: gtully, CD: 2017-09-19, AMQ-6815-have-checkpoint-validate-status-of-async-writes-to-avoid-stale-metadata-and-validate-location-size-on-read-to-avoid-potential-oom-on-restart
Commit: f82eccd2f504b59c2e98ba8273e28f4d7a2a8698, AN: Robbie Gemmell, AD: 2017-09-15, CN: Robbie Gemmell, CD: 2017-09-15, AMQ-6813-update-tick-deadline-handling-to-account-for-potential-to-be-negative-due-to-using-nanoTime-derived-values-plus-other-edge-case-protections
Commit: 9326ccabac8b21f0165ce1d7855add08ebf9f024, AN: Robbie Gemmell, AD: 2017-09-15, CN: Robbie Gemmell, CD: 2017-09-15, AMQ-6812-update-to-proton-j-0.22.0
Commit: 6b27708ae15818d025e9f65a1bf8d54a31e01045, AN: Christopher L. Shannon (cshannon), AD: 2017-09-15, CN: Christopher L. Shannon (cshannon), CD: 2017-09-15, AMQ-6811-moving-ActiveMQMessageIsMarshalled-test-to-src-test-java
Commit: f82993d9c2315d7ea6c35d164f7665987cdbe1b8, AN: Christopher L. Shannon (cshannon), AD: 2017-09-15, CN: Christopher L. Shannon (cshannon), CD: 2017-09-15, AMQ-6811-fix-reduceMemoryFootprint-when-no-message-body
Commit: 31f507001acbc9a046f281b0f58802f35c36f4d0, AN: Timothy Bish, AD: 2017-09-15, CN: Timothy Bish, CD: 2017-09-15, This-closes-259
Commit: c691124d3288ffc9299bedca69b952952f2cbcf6, AN: Erik Wramner, AD: 2017-09-12, CN: Timothy Bish, CD: 2017-09-15, AMQ-6808-preserve-destination-for-browsed-scheduled-messages
Commit: a359d8152cfee6f2fe95d34fd1b2296f6ed2670c, AN: gtully, AD: 2017-09-15, CN: gtully, CD: 2017-09-15, AMQ-6277-take-account-of-producer-audit-not-being-updatated-on-recovery-check-avoid-unnecessary-partial-journal-replay
Commit: ed395d1a8544bb0df7283d6335a88f6c2a3c867f, AN: Timothy Bish, AD: 2017-09-06, CN: Timothy Bish, CD: 2017-09-06, AMQ-6804-Improve-Transfer-tag-generation-and-pooling
Commit: 42bf6e9061c4bb5723e380da3b1c2c6a5a162ffd, AN: gtully, AD: 2017-09-04, CN: gtully, CD: 2017-09-04, AMQ-4947-ensure-index-page-file-does-not-skip-forcing-metadata-size-is-important-to-the-page-file
Commit: 2e492569db2345cf3be8532630f93219159a8b15, AN: Robbie Gemmell, AD: 2017-09-01, CN: Robbie Gemmell, CD: 2017-09-01, AMQ-6801-ensure-transport-listener-is-set-before-tripping-latch-to-indicate-startup-is-occuring
Commit: 5e656d394ce73d6f7d9e72f46348ed7dc9b6240c, AN: Dejan Bosanac, AD: 2017-09-01, CN: Dejan Bosanac, CD: 2017-09-01, https-issues.apache.org-jira-browse-AMQ-6799-stop-the-jmx-server-connector-properly
Commit: 35bd3ad938f5c378b17a34980d2f3480bf3bbfc3, AN: Christopher L. Shannon (cshannon), AD: 2017-08-24, CN: Christopher L. Shannon (cshannon), CD: 2017-08-24, AMQ-6798-Clean-up-store-usage-object-on-Queue-stop
Commit: c7291f1ecfefec7aad6fcf168e298e2ef0af8ed7, AN: Dejan Bosanac, AD: 2017-08-24, CN: Dejan Bosanac, CD: 2017-08-24, https-issues.apache.org-jira-browse-AMQ-6799-IOExceptionHandler-during-the-startup
Commit: 4c986d102cd5c862d88fd84eec1889b9786e9970, AN: Timothy Bish, AD: 2017-08-23, CN: Timothy Bish, CD: 2017-08-23, AMQ-6796-Avoid-double-Ack-on-commit-in-STOMP-individual-ack-mode
Commit: 63f0b7e20d56837b4f159e83594a4e4fb906cd4a, AN: gtully, AD: 2017-08-11, CN: gtully, CD: 2017-08-11, AMQ-6792-fire-the-failover-exception-handler-before-stop-to-ensure-blocked-write-does-not-block-stop-request
Commit: 068b7946ce14a8b9d02fa49bd05b8f4113a8ad88, AN: gtully, AD: 2017-08-09, CN: gtully, CD: 2017-08-09, AMQ-6643-AMQ-5594-fix-test-regression-to-reflect-match-strategy
Commit: 8646bb1010d2632f5d405fe1761c2b9c99a0a139, AN: Christian Schneider, AD: 2017-08-08, CN: Christian Schneider, CD: 2017-08-08, AMQ-6788-Explain-how-to-fix-the-problem-in-the-exception
Commit: 267fe73898ca45058ccfe9f2e0efee18262de8cb, AN: Timothy Bish, AD: 2017-08-08, CN: Timothy Bish, CD: 2017-08-08, AMQ-6790-Update-to-latest-Qpid-JMS-and-Qpid-Proton-versions
Commit: a67c75a9e15c9957aedc0bc8c4aa89952a4c5ea0, AN: gtully, AD: 2017-08-08, CN: gtully, CD: 2017-08-08, AMQ-6643-refine-fix-to-allow-wildcard-subs-to-non-wildcard-subscription-queues-enable-simple-wildcard-sub-to-drain-all-subscription-queues
Commit: a15626193c8d3c099b0bcf1e605b892b533a4d3e, AN: gtully, AD: 2017-08-04, CN: gtully, CD: 2017-08-04, AMQ-6787-release-securty-context-on-failure-to-addConnection-subsequent-to-auth-resolve-leak.-fix-and-test
Commit: 206f77adac24414751509195fd3b985d976573fd, AN: gtully, AD: 2017-07-26, CN: gtully, CD: 2017-07-26, AMQ-6778-fix-test-regression-that-needs-to-account-for-presence-of-correct-advisory-dests
Commit: ddfa96028c4c803467b0c074b8c1b4d3e5f9687d, AN: gtully, AD: 2017-07-25, CN: gtully, CD: 2017-07-25, AMQ-6778-fix-and-test-no-longer-gate-firing-advisory-on-broker-start-flag-b-c-consumers-may-be-present-once-transport-connectors-have-started
Commit: bdad06fdca98f161aefbd23e2c983a0d8c60898f, AN: Claus Ibsen, AD: 2017-07-22, CN: Claus Ibsen, CD: 2017-07-22, AMQ-6694-Not-possible-to-autowire-connectionFactory-in-Spring-Boot-using-SB-starter
Commit: 9985b162474ed9de59e92fd124409e212bbd6831, AN: Clebert Suconic, AD: 2017-07-19, CN: Clebert Suconic, CD: 2017-07-19, AMQ-6689-Update-readme
Commit: 18f91ba136c585193177d8b9e1e8c0ae4d3bd76b, AN: Clebert Suconic, AD: 2017-07-19, CN: Clebert Suconic, CD: 2017-07-19, Merging-selected-logo-as-AMQ-6689-from-255
